wl_micron nw
2.30343 1.290844
2.30292 1.290886
2.30241 1.290931
2.30189 1.290974
2.30138 1.29102
2.30087 1.291064
2.30036 1.291108
2.29985 1.291151
2.29883 1.291241
2.29832 1.291286
2.29781 1.29133
2.11586 1.303746
2.11543 1.303772
2.115 1.303796
2.11457 1.303819
2.11371 1.303865
2.11328 1.303886
2.11285 1.30391
2.11242 1.303933
2.11198 1.303957
2.11155 1.303981
2.11112 1.304008
2.11069 1.304031
2.11027 1.304055
2.10984 1.30408
2.10898 1.304128
2.10855 1.304152
2.10812 1.304176
2.10769 1.3042
2.10726 1.304223
2.10683 1.304247
2.10641 1.304268
2.10598 1.30429
2.10555 1.304313
2.10512 1.304338
2.10427 1.304386
2.10384 1.304406
2.10342 1.304428
2.10299 1.304449
2.10256 1.304473
2.10214 1.304495
2.10171 1.304518
2.10128 1.304539
2.10086 1.304561
2.10043 1.304582
2.09958 1.304628
2.09916 1.304651
2.09873 1.304672
2.09831 1.304696
2.09788 1.304716
2.09746 1.304735
2.09703 1.304754
2.09661 1.304775
2.09576 1.304813
2.09534 1.304831
2.09491 1.304852
2.09449 1.304872
2.09407 1.304893
2.09365 1.304912
2.09322 1.304931
2.0928 1.304949
2.09238 1.304968
2.09196 1.304986
2.09111 1.305024
2.09069 1.305043
2.09027 1.30506
2.08985 1.30508
2.08943 1.3051
2.08901 1.305122
2.08858 1.305142
2.08816 1.305161
2.08774 1.305181
2.08732 1.305203
2.08648 1.305248
2.08606 1.305271
2.08564 1.305294
2.08522 1.305315
2.0848 1.305338
2.08439 1.305359
2.08397 1.305381
2.08355 1.305403
2.08313 1.305426
2.08271 1.305447
2.08187 1.305489
2.08146 1.305511
2.08104 1.305531
2.08062 1.305553
2.0802 1.305575
2.07979 1.3056
2.07937 1.305623
2.07895 1.305646
2.07853 1.305668
2.07812 1.305692
2.07729 1.305737
2.07687 1.305756
2.07645 1.305776
2.07604 1.305794
2.07562 1.305814
2.07521 1.305831
2.07479 1.305849
2.07438 1.305865
2.07396 1.305883
2.07355 1.305898
2.07272 1.305931
2.0723 1.305947
2.07189 1.305963
2.07148 1.305982
2.07106 1.306002
2.07065 1.30602
2.07023 1.306035
2.06982 1.306053
2.06899 1.306084
2.06858 1.306099
2.06817 1.306117
2.06776 1.306133
2.06734 1.306151
2.06693 1.306168
2.06652 1.306186
2.06611 1.306203
2.0657 1.306223
2.06529 1.306243
2.06446 1.306286
2.06405 1.306308
2.06364 1.306329
2.06323 1.306351
2.06282 1.306372
2.06241 1.306392
2.062 1.306411
2.06159 1.30643
2.06118 1.306449
2.06077 1.306471
2.05995 1.306513
2.05954 1.306534
2.05913 1.306556
2.05872 1.306574
2.05831 1.306593
2.05791 1.306613
2.0575 1.306637
2.05709 1.306658
2.05668 1.306679
2.05627 1.3067
2.05546 1.306742
2.05505 1.306762
2.05464 1.306781
2.05424 1.3068
2.05383 1.306819
2.05342 1.30684
2.05302 1.306859
2.05261 1.306879
2.0522 1.306897
2.0518 1.306915
2.05099 1.306953
2.05058 1.306971
2.05017 1.30699
2.04977 1.307008
2.04936 1.307028
2.04896 1.307045
2.04855 1.307062
2.04815 1.307077
2.04774 1.307095
2.04734 1.307112
2.04653 1.307148
2.04613 1.307165
2.04572 1.307181
2.04532 1.307201
2.04492 1.307221
2.04451 1.307241
2.04411 1.307259
2.04371 1.307279
2.0429 1.307313
2.0425 1.307329
2.0421 1.307349
2.0417 1.307369
2.04129 1.307388
2.04089 1.307403
2.04049 1.30742
2.04009 1.307437
2.03969 1.307454
2.03929 1.307471
2.03848 1.307507
2.03808 1.307526
2.03768 1.307544
2.03728 1.307565
2.03688 1.307583
2.03648 1.307602
2.03608 1.30762
2.03568 1.307641
2.03528 1.307661
2.03488 1.30768
2.03409 1.307715
2.03369 1.307733
2.03329 1.307751
2.03289 1.307766
2.03249 1.307783
2.03209 1.307798
2.03169 1.307817
2.0313 1.307834
2.0309 1.307853
2.0305 1.307869
2.02971 1.307906
2.02931 1.307924
2.02891 1.307941
2.02851 1.307958
2.02812 1.307974
2.02772 1.307992
2.02732 1.308007
2.02693 1.308024
2.02653 1.308042
2.02614 1.308061
2.02534 1.308091
2.02495 1.308106
2.02455 1.308122
2.02416 1.308137
2.02376 1.308156
2.02337 1.308173
2.02297 1.308191
2.02258 1.308207
2.02218 1.308226
2.02179 1.308244
2.021 1.30828
2.02061 1.308297
2.02021 1.308314
2.01982 1.308331
2.01943 1.308346
2.01903 1.308362
2.01864 1.308377
2.01825 1.308397
2.01746 1.308433
2.01707 1.308449
2.01668 1.308466
2.01628 1.308482
2.01589 1.3085
2.0155 1.308517
2.01511 1.308535
2.01472 1.308553
2.01433 1.308572
2.01393 1.308587
2.01315 1.308618
2.01276 1.308633
2.01237 1.308648
2.01198 1.308665
2.01159 1.30868
2.0112 1.308696
2.01081 1.30871
2.01042 1.308725
2.01003 1.308738
2.00964 1.308753
2.00886 1.308781
2.00847 1.308794
2.00808 1.30881
2.00769 1.308824
2.00731 1.308839
2.00692 1.308854
2.00653 1.30887
2.00614 1.308885
2.00575 1.308902
2.00536 1.308918
2.00459 1.308951
2.0042 1.308968
2.00381 1.308984
2.00343 1.309003
2.00304 1.30902
2.00265 1.309039
2.00227 1.309055
2.00188 1.309069
2.00149 1.309081
2.00111 1.309095
2.00033 1.309123
1.99995 1.309138
1.99956 1.309154
1.99918 1.309168
1.99879 1.309182
1.99841 1.309193
1.99802 1.309207
1.99764 1.309221
1.99725 1.309236
1.99687 1.30925
1.9961 1.309277
1.99571 1.309291
1.99533 1.309304
1.99495 1.309317
1.99456 1.309329
1.99418 1.309342
1.99379 1.309354
1.99341 1.309367
1.99265 1.309395
1.99226 1.309408
1.99188 1.309424
1.9915 1.309438
1.99111 1.309453
1.99073 1.309467
1.99035 1.309482
1.98997 1.309496
